Device,CPU,MHz,Memory Index,Integer Index,FP Index,INT,FLOAT,SuperPI 1M,Test Date,ISA,mem,int,float,INT_o,FLOAT_o,notes,,
HP Z600,Xeon X5550,2667,27.461,26.342,27.894,107.5,86.4,14.800s,2020-05-05,x86-64,27461,26342,27894,107500,86400,,,
Eigenbau 5,AMD Phenom II X4 955,3352,28.022,32.586,44.104,122.4,79.2,16.300s,2015-11-07,x86-64,28022,32586,44104,122400,79200,,,
MacBookAir,i5 4250U,2300,39.05,33.215,54.26,142.7,97.8,-,2016-01-28,x86-64,39050,33215,54260,142700,97800,,,
Elitebook hp8460p,i5 2520M,2500,40.699,37.018,52.635,154.5,94.9,13.145s,2016-01-28,x86-64,40699,37018,52635,154500,94900,,,
Thinkpad X230,i5 3320M,2600,45.382,40.313,61.804,169.9,111.4,12.264s,2017-03-23,x86-64,45382,40313,61804,169900,111400,,,
zBook 15 G3,i7 6820HQ,2700,57.2,43.732,107.954,196.6,194.6,10.712s,2020-11-20,x86-64,57200,43732,107954,196600,194600,,,
MacBookPro15 2013,i7 4960HQ,2600,55.046,44.618,73.57,195.6,132.6,10.164s,2018-09-12,x86-64,55046,44618,73570,195600,132600,,,
Asus ROG GL552VW,Intel Core i7 6700HQ,2600,63.682,45.732,68.159,211.2,122.9,-,2018-02-15,x86-64,63682,45732,68159,211200,122900,,,
Acer Aspire V15 Nitro,Intel Core i7 4710HQ,2500,50.423,46.117,70.039,192,126.3,-,2018-02-15,x86-64,50423,46117,70039,192000,126300,,,
HP mini 800 G4,i5 8500T,2112,61.249,46.227,113.619,209,204.9,10.900s,2024-01-07,x86-64,61249,46227,113619,209000,204900,,,
Eigenbau 6 AI CUDA,i3-6100,3700,68.15,48.103,118.447,223.8,216.6,,2025-04-26,x86-64,68150,48103,118447,223805,216554,,,
Eigenbau 7 AI CUDA,Xeon 2696 v3,2295,59.666,49.441,116.922,214.8,210.8,11.801s,2024-01-07,x86-64,59666,49441,116922,214800,210800,,,
Proxmox 1226,E3-1226 v3,3700,62.206,49.951,112.593,219.9,203,10.044s,2024-09-26,x86-64,62206,49951,112593,219900,203000,,,"Network device (NAS, router)"
Xigmatec Gemini,i3 10100,4160,77.174,56.761,138.003,259.5,248.8,08.748s,2023-10-12,x86-64,77174,56761,138003,259470,248812,,,Mobile Phone
Galaxy Note 20,Snapdragon 865,3090,63.435,66.735,143.465,261.7,258.7,,2026-04-04,ARMv8.2-A,63435,66735,143465,261682,258660,"termux, 4.19.113, clang 21.1.8",,SBC Single Board Computer
MacBook Air 2020 ,M1,3200,66.939,79.733,216.304,296.4,389.9,-,2024-09-26,ARMv8.5-A,66939,79733,216304,296400,389900,,,Laptop
HP mini 400 G9,i7 13700T,4700,104.525,85.01,264.869,372.2,377.5,06.917s,2024-09-26,x86-64,104525,85010,264869,372200,377500,,,regular PC
Galaxy S24,Exynos 2400,3210,83.274,86,163.313,339.9,296.2,-,2026-04-04,ARMv9.2-A,83274,86000,163313,339907,296248,"termux, 6.1.138, clang 21.1.8",,
